objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739863643654276,4682,40,6,209,2180,3,259.18680636,42.98855021,23.380659,23.25123,21.723137,20.506754,19.732595,0.729106,0.197748,0.07921,0.045894,0.08488
587739863643654284,4682,40,6,209,2188,6,259.1897576,42.9839745,24.338293,23.865437,22.83754,22.483372,22.758865,1.039701,0.286421,0.183101,0.222852,0.579423
587739863643654317,4682,40,6,209,2221,6,259.22014112,42.97770968,23.510368,23.536638,22.77113,22.445534,22.581541,0.701797,0.222995,0.174601,0.218182,0.577551
587739863643654326,4682,40,6,209,2230,6,259.23690053,42.97437979,24.336767,24.373854,22.751545,22.474361,22.027788,1.038243,0.393281,0.172123,0.223472,0.471018
587742633347842185,5327,40,5,13,137,6,259.05465593,43.13589926,14.598818,12.439916,11.827806,11.809948,13.446617,5.404239E-3,9.491571E-4,6.088057E-4,1.308565E-3,5.923868E-3
587742633347842186,5327,40,5,13,138,6,259.05425267,43.13111392,19.49124,18.608232,18.341869,18.275949,18.282688,0.032134,7.762508E-3,7.622044E-3,9.199739E-3,0.021603
587742633347842192,5327,40,5,13,144,6,259.05358002,43.1273068,23.663696,22.550493,21.662287,20.017298,19.166294,0.915892,0.138876,0.091803,0.033269,0.045861
587742633347842193,5327,40,5,13,145,6,259.0561379,43.1308683,23.21184,25.054022,21.726572,21.670031,20.236853,0.824625,0.90918,0.123231,0.182312,0.14239
587742633347842195,5327,40,5,13,147,3,259.05453371,43.14316774,22.518288,21.979813,21.282574,20.963062,20.67873,0.391733,0.088743,0.068754,0.075985,0.166816
587742633347842196,5327,40,5,13,148,6,259.05287374,43.1298652,23.787495,22.369976,24.230278,24.360056,21.293341,0.908334,0.111719,0.640651,0.711527,0.247378
587742633347842197,5327,40,5,13,149,6,259.05689978,43.14408904,24.230768,24.087233,23.742893,21.623072,20.742748,1.043448,0.429583,0.463103,0.114014,0.14952
587742633347842199,5327,40,5,13,151,3,259.05534584,43.12687252,23.528694,23.599527,22.298048,21.655487,21.326712,0.897287,0.363729,0.17295,0.145659,0.30057
587742633347842201,5327,40,5,13,153,3,259.05254381,43.1385654,21.504107,23.284622,21.742153,22.0485,21.487673,0.180097,0.31855,0.118443,0.237104,0.367877
587742633347842415,5327,40,5,13,367,6,259.0540214,43.11908853,21.238779,20.420595,20.036638,19.89171,20.066282,0.118319,0.023331,0.022359,0.027234,0.085836
587742633347842416,5327,40,5,13,368,6,259.0558584,43.11978941,25.725405,24.275318,22.234444,22.10825,22.305952,0.70669,0.527767,0.146567,0.191015,0.48736
587742633347842515,5327,40,5,13,467,3,259.07399451,43.07427966,20.848091,20.010056,19.630276,19.503719,19.459429,0.094635,0.018628,0.018036,0.022431,0.058479
587742633347842516,5327,40,5,13,468,6,259.0759579,43.07331553,22.638506,21.2691,20.757818,20.543156,20.436562,0.395706,0.044786,0.03972,0.047375,0.121423
587742633347842594,5327,40,5,13,546,6,259.05892134,43.12028524,23.69248,21.049288,19.560349,18.601099,18.106213,0.835251,0.036612,0.015922,0.01111,0.019078
587742633347842660,5327,40,5,13,612,6,259.05766389,43.12404884,24.399162,21.892633,20.60351,19.147415,18.42794,1.084677,0.072183,0.034441,0.01583,0.023828
587742633347842661,5327,40,5,13,613,3,259.05625291,43.12360785,23.460335,21.760258,21.039238,20.888048,21.014769,0.855691,0.076508,0.05827,0.075135,0.235027
587742633347842662,5327,40,5,13,614,6,259.05478721,43.12246281,24.795446,23.833626,22.582533,22.220442,22.863415,1.075064,0.35807,0.182059,0.190481,0.480192
587742633347842663,5327,40,5,13,615,6,259.05795158,43.12270197,24.771137,23.625637,22.633997,22.720377,22.065599,1.074557,0.306675,0.19034,0.289243,0.39288
587742633347842711,5327,40,5,13,663,6,259.05596474,43.10936732,21.717951,21.069649,20.584633,20.4527,20.42144,0.176837,0.037333,0.033918,0.042465,0.115467
587742633347842871,5327,40,5,13,823,6,259.05757111,43.16033461,25.48049,22.585901,21.883831,21.624533,20.744469,0.814094,0.132731,0.102273,0.117825,0.15488
587742633347842876,5327,40,5,13,828,6,259.06045067,43.15694118,24.302235,22.658895,21.797695,21.663229,21.064577,1.122166,0.145047,0.097528,0.125966,0.208494
587742633347842976,5327,40,5,13,928,6,259.05870266,43.10772828,22.472797,21.588318,21.116312,20.791374,20.482851,0.330971,0.056754,0.052277,0.056517,0.122871
587742633347842989,5327,40,5,13,941,6,259.05920793,43.10251301,25.261005,22.383343,21.787706,21.526791,21.441978,0.893124,0.107878,0.090798,0.103937,0.26081
587742633347843027,5327,40,5,13,979,6,259.06115832,43.09218789,23.582289,23.149574,21.620478,20.66453,20.058718,0.808374,0.215757,0.081932,0.052582,0.088578
587742633347843057,5327,40,5,13,1009,6,259.06862797,43.08135988,23.490484,21.337723,20.849977,20.728613,20.634281,0.737885,0.045687,0.041444,0.052882,0.136713
587742633347843058,5327,40,5,13,1010,6,259.07033756,43.08128278,24.069794,21.844584,21.125809,20.858391,20.687975,1.071712,0.072471,0.054796,0.062779,0.153039
587742633347843105,5327,40,5,13,1057,6,259.0791954,43.06658834,24.658865,22.890547,21.333717,20.414993,19.921711,1.155081,0.174168,0.064305,0.04278,0.079171
587742633347843119,5327,40,5,13,1071,6,259.08189869,43.06147297,22.617453,22.228056,21.340439,21.188055,20.845572,0.382776,0.097205,0.063504,0.080452,0.168162
587742633347843127,5327,40,5,13,1079,6,259.08062624,43.05967399,23.092024,21.798807,21.205954,20.957911,20.775858,0.579269,0.06851,0.057421,0.067077,0.161215
587742633347843307,5327,40,5,13,1259,3,259.05608586,43.11391598,25.63101,23.422834,22.489016,22.549404,22.721382,0.798932,0.294682,0.191336,0.293163,0.556751
587742633347843358,5327,40,5,13,1310,6,259.06691636,43.08820398,23.73177,23.205139,21.720369,21.035856,20.710554,0.853628,0.215129,0.085536,0.068045,0.145416
587742633347843554,5327,40,5,13,1506,6,259.08437287,43.05886751,25.359957,24.451973,23.36187,21.774858,21.626062,0.861905,0.53881,0.348179,0.131627,0.304476
587742633347907644,5327,40,5,14,60,6,259.12042616,43.02171608,22.486042,21.503796,21.060854,20.761477,20.919424,0.345462,0.053187,0.04913,0.055111,0.171317
587742633347907645,5327,40,5,14,61,6,259.1143674,43.02378093,23.107386,22.013874,21.851572,21.577312,21.760637,0.65678,0.092668,0.112185,0.133558,0.389854
587742633347907667,5327,40,5,14,83,6,259.13724794,43.00705409,24.060801,22.209547,21.439886,21.438343,21.000059,1.056651,0.098857,0.069534,0.102121,0.192283
587742633347907670,5327,40,5,14,86,6,259.14660505,43.0029096,19.086033,18.043694,17.683931,17.541784,17.518452,0.024788,5.949466E-3,5.525759E-3,6.314477E-3,0.012972
587742633347907671,5327,40,5,14,87,6,259.1455877,43.00539082,19.454779,18.518339,18.266527,18.188278,18.237766,0.031392,7.412876E-3,7.246998E-3,8.780065E-3,0.020597
587742633347907672,5327,40,5,14,88,6,259.1482528,43.00282122,25.302114,24.309214,22.676435,21.274628,20.832691,0.912876,0.504369,0.194547,0.085587,0.160481
587742633347907673,5327,40,5,14,89,6,259.14589439,43.00665738,24.228855,22.738459,22.035234,21.703382,21.499182,1.085964,0.154039,0.114654,0.127802,0.278661
587742633347907794,5327,40,5,14,210,6,259.08792426,43.04783746,23.820633,22.546824,21.944258,21.811993,21.322639,0.916023,0.125529,0.103052,0.133822,0.236319
587742633347908069,5327,40,5,14,485,6,259.09321618,43.04723097,23.113176,21.2327,19.907988,19.492985,19.274191,0.568098,0.042975,0.020366,0.020604,0.044582
587742633347908195,5327,40,5,14,611,3,259.11554395,43.02619411,21.355408,20.532192,20.032681,19.907232,19.873222,0.168909,0.030927,0.02744,0.035849,0.095098
587742633347908210,5327,40,5,14,626,6,259.14947878,43.00039591,21.766315,20.77651,20.41169,20.291962,20.202881,0.185977,0.030583,0.029392,0.038058,0.095527
587742633347908300,5327,40,5,14,716,6,259.08737956,43.05390365,23.274807,22.10243,21.886778,21.589478,21.638369,0.695432,0.09358,0.107931,0.122796,0.333435
587742633347908320,5327,40,5,14,736,6,259.08956198,43.04585474,22.619476,21.806732,21.196932,20.91489,20.948412,0.385306,0.069214,0.056073,0.063823,0.182166
587742633347908350,5327,40,5,14,766,6,259.09978624,43.04061071,24.785061,23.062077,22.109266,22.274462,21.546185,1.095782,0.196469,0.119771,0.201318,0.281301
587742633347908372,5327,40,5,14,788,6,259.10346886,43.03396978,22.402449,21.642092,21.165899,20.916929,21.075602,0.324752,0.060255,0.05401,0.063459,0.198753
587742633347908373,5327,40,5,14,789,6,259.10184789,43.03342867,24.157824,23.155855,21.567316,21.665758,21.963156,1.088527,0.216333,0.076637,0.122089,0.381975
587742633347908458,5327,40,5,14,874,3,259.13049933,43.01127299,26.189651,22.511238,21.627756,21.322392,21.952957,0.859137,0.218644,0.143282,0.169398,0.71439
587742633347908756,5327,40,5,14,1172,6,259.08272793,43.05526022,25.50415,23.663147,22.721521,23.243767,21.836374,0.784992,0.319196,0.202045,0.430778,0.343926
587742633347908792,5327,40,5,14,1208,3,259.09738612,43.04009514,22.593302,23.251522,21.898037,22.033571,21.669334,0.46313,0.290689,0.126507,0.214076,0.40272
587742633347908870,5327,40,5,14,1286,3,259.15259485,43.00321222,23.668526,23.922689,22.536871,22.535631,22.090729,0.957834,0.454186,0.202166,0.304222,0.477676
587742633347909073,5327,40,5,14,1489,3,259.14319072,43.00306401,24.083391,23.405575,23.359247,21.890221,22.41596,1.190336,0.306134,0.406588,0.175178,0.546619
